takt;q1;q2;q1p;q2p
195;-1.000000;-1.000000;62.375683;-62.375683
196;-1.000000;-1.000000;62.643913;-62.643913
197;-1.000000;-1.000000;62.911404;-62.911404
198;-1.000000;-1.000000;63.178150;-63.178150
199;-1.000000;-1.000000;63.444153;-63.444153
200;-1.000000;-1.000000;63.709404;-63.709404
201;-1.000000;-1.000000;63.973904;-63.973904
202;-1.000000;-1.000000;64.237648;-64.237648
203;-1.000000;-1.000000;64.500633;-64.500633
204;-1.000000;-1.000000;64.762856;-64.762856
205;-1.000000;-1.000000;65.024315;-65.024315
206;-1.000000;-1.000000;65.285011;-65.285011
207;-1.000000;-1.000000;65.544930;-65.544930
208;-1.000000;-1.000000;65.804077;-65.804077
209;-1.000000;-1.000000;66.062447;-66.062447
210;-1.000000;-1.000000;66.320030;-66.320030
211;-1.000000;-1.000000;66.576836;-66.576836
212;-1.000000;-1.000000;66.832855;-66.832855
213;-1.000000;-1.000000;67.088089;-67.088089
214;-1.000000;-1.000000;67.342529;-67.342529
215;-1.000000;-1.000000;67.596169;-67.596169
216;-1.000000;-1.000000;67.849014;-67.849014
217;-1.000000;-1.000000;68.101059;-68.101059
218;-1.000000;-1.000000;68.352295;-68.352295
219;-1.000000;-1.000000;68.602730;-68.602730
220;-1.000000;-1.000000;68.852348;-68.852348
221;-1.000000;-1.000000;69.101158;-69.101158
222;-1.000000;-1.000000;69.349152;-69.349152
223;-1.000000;-1.000000;69.596329;-69.596329
224;-1.000000;-1.000000;69.842682;-69.842682
225;-1.000000;-1.000000;70.088203;-70.088203
226;-1.000000;-1.000000;70.332909;-70.332909
227;-1.000000;-1.000000;70.576775;-70.576775
228;-1.000000;-1.000000;70.819809;-70.819809
229;-1.000000;-1.000000;71.062012;-71.062012
230;-1.000000;-1.000000;71.303368;-71.303368
231;-1.000000;-1.000000;71.543884;-71.543884
232;-1.000000;-1.000000;71.783562;-71.783562
233;-1.000000;-1.000000;72.022385;-72.022385
234;-1.000000;-1.000000;72.260361;-72.260361
235;-1.000000;-1.000000;72.497482;-72.497482
236;-1.000000;-1.000000;72.733749;-72.733749
237;-1.000000;-1.000000;72.969154;-72.969154
238;-1.000000;-1.000000;73.203697;-73.203697
239;-1.000000;-1.000000;73.437378;-73.437378
240;-1.000000;-1.000000;73.670189;-73.670189
241;-1.000000;-1.000000;73.902138;-73.902138
242;-1.000000;-1.000000;74.133209;-74.133209
243;-1.000000;-1.000000;74.363403;-74.363403
244;-1.000000;-1.000000;74.592720;-74.592720
245;-1.000000;-1.000000;74.821152;-74.821152
246;-1.000000;-1.000000;75.048706;-75.048706
247;-1.000000;-1.000000;75.275375;-75.275375
248;-1.000000;-1.000000;75.501152;-75.501152
249;-1.000000;-1.000000;75.726036;-75.726036
250;-1.000000;-1.000000;75.950027;-75.950027
251;-1.000000;-1.000000;76.173119;-76.173119
252;-1.000000;-1.000000;76.395317;-76.395317
253;-1.000000;-1.000000;76.616608;-76.616608
254;-1.000000;-1.000000;76.836998;-76.836998
255;-1.000000;-1.000000;77.056473;-77.056473
256;-1.000000;-1.000000;77.275047;-77.275047
257;-1.000000;-1.000000;77.492706;-77.492706
258;-1.000000;-1.000000;77.709450;-77.709450
259;-1.000000;-1.000000;77.925270;-77.925270
260;-1.000000;-1.000000;78.140175;-78.140175
261;-1.000000;-1.000000;78.354156;-78.354156
262;-1.000000;-1.000000;78.567215;-78.567215
263;-1.000000;-1.000000;78.779343;-78.779343
264;-1.000000;-1.000000;78.990547;-78.990547
265;-1.000000;-1.000000;79.200813;-79.200813
266;-1.000000;-1.000000;79.410141;-79.410141
267;-1.000000;-1.000000;79.618530;-79.618530
268;-1.000000;-1.000000;79.825989;-79.825989
269;-1.000000;-1.000000;80.032494;-80.032494
270;-1.000000;-1.000000;80.238060;-80.238060
271;-1.000000;-1.000000;80.442680;-80.442680
272;-1.000000;-1.000000;80.646347;-80.646347
273;-1.000000;-1.000000;80.849060;-80.849060
274;-1.000000;-1.000000;81.050819;-81.050819
275;-1.000000;-1.000000;81.251625;-81.251625
276;-1.000000;-1.000000;81.451469;-81.451469
277;-1.000000;-1.000000;81.650352;-81.650352
278;-1.000000;-1.000000;81.848267;-81.848267
279;-1.000000;-1.000000;82.045219;-82.045219
280;-1.000000;-1.000000;82.241196;-82.241196
281;-1.000000;-1.000000;82.436211;-82.436211
282;-1.000000;-1.000000;82.630249;-82.630249
283;-1.000000;-1.000000;82.823311;-82.823311
284;-1.000000;-1.000000;83.015396;-83.015396
285;-1.000000;-1.000000;83.206497;-83.206497
286;-1.000000;-1.000000;83.396614;-83.396614
287;-1.000000;-1.000000;83.585754;-83.585754
288;-1.000000;-1.000000;83.773903;-83.773903
289;-1.000000;-1.000000;83.961060;-83.961060
290;-1.000000;-1.000000;84.147224;-84.147224
291;-1.000000;-1.000000;84.332405;-84.332405
292;-1.000000;-1.000000;84.516579;-84.516579
293;-1.000000;-1.000000;84.699760;-84.699760
294;-1.000000;-1.000000;84.881943;-84.881943
295;-1.000000;-1.000000;85.063118;-85.063118
296;-1.000000;-1.000000;85.243294;-85.243294
297;-1.000000;-1.000000;85.422455;-85.422455
298;-1.000000;-1.000000;85.600616;-85.600616
299;-1.000000;-1.000000;85.777763;-85.777763
300;-1.000000;-1.000000;85.953896;-85.953896
301;-1.000000;-1.000000;86.129013;-86.129013
302;-1.000000;-1.000000;86.303116;-86.303116
303;-1.000000;-1.000000;86.476196;-86.476196
304;-1.000000;-1.000000;86.648254;-86.648254
305;-1.000000;-1.000000;86.819298;-86.819298
306;-1.000000;-1.000000;86.989311;-86.989311
307;-1.000000;-1.000000;87.158295;-87.158295
308;-1.000000;-1.000000;87.326248;-87.326248
309;-1.000000;-1.000000;87.493172;-87.493172
310;-1.000000;-1.000000;87.659065;-87.659065
311;-1.000000;-1.000000;87.823921;-87.823921
312;-1.000000;-1.000000;87.987740;-87.987740
313;-1.000000;-1.000000;88.150520;-88.150520
314;-1.000000;-1.000000;88.312263;-88.312263
315;-1.000000;-1.000000;88.472961;-88.472961
316;-1.000000;-1.000000;88.632614;-88.632614
317;-1.000000;-1.000000;88.791214;-88.791214
318;-1.000000;-1.000000;88.948769;-88.948769
319;-1.000000;-1.000000;89.105278;-89.105278
320;-1.000000;-1.000000;89.260735;-89.260735
321;-1.000000;-1.000000;89.415131;-89.415131
322;-1.000000;-1.000000;89.568474;-89.568474
323;-1.000000;-1.000000;89.720764;-89.720764
324;-1.000000;-1.000000;89.871986;-89.871986
325;-1.000000;-1.000000;90.022156;-90.022156
326;-1.000000;-1.000000;90.171257;-90.171257
327;-1.000000;-1.000000;90.319290;-90.319290
328;-1.000000;-1.000000;90.466263;-90.466263
329;-1.000000;-1.000000;90.612167;-90.612167
330;-1.000000;-1.000000;90.756996;-90.756996
331;-1.000000;-1.000000;90.900757;-90.900757
332;-1.000000;-1.000000;91.043442;-91.043442
333;-1.000000;-1.000000;91.185059;-91.185059
334;-1.000000;-1.000000;91.325592;-91.325592
335;-1.000000;-1.000000;91.465050;-91.465050
336;-1.000000;-1.000000;91.603424;-91.603424
337;-1.000000;-1.000000;91.740723;-91.740723
338;-1.000000;-1.000000;91.876930;-91.876930
339;-1.000000;-1.000000;92.012054;-92.012054
340;-1.000000;-1.000000;92.146095;-92.146095
341;-1.000000;-1.000000;92.279045;-92.279045
342;-1.000000;-1.000000;92.410912;-92.410912
343;-1.000000;-1.000000;92.541679;-92.541679
344;-1.000000;-1.000000;92.671356;-92.671356
345;-1.000000;-1.000000;92.799942;-92.799942
346;-1.000000;-1.000000;92.927429;-92.927429
347;-1.000000;-1.000000;93.053818;-93.053818
348;-1.000000;-1.000000;93.179108;-93.179108
349;-1.000000;-1.000000;93.303299;-93.303299
350;-1.000000;-1.000000;93.426392;-93.426392
351;-1.000000;-1.000000;93.548378;-93.548378
352;-1.000000;-1.000000;93.669258;-93.669258
353;-1.000000;-1.000000;93.789032;-93.789032
354;-1.000000;-1.000000;93.907700;-93.907700
355;-1.000000;-1.000000;94.025261;-94.025261
356;-1.000000;-1.000000;94.141708;-94.141708
357;-1.000000;-1.000000;94.257042;-94.257042
358;-1.000000;-1.000000;94.371262;-94.371262
359;-1.000000;-1.000000;94.484375;-94.484375
360;-1.000000;-1.000000;94.596367;-94.596367
361;-1.000000;-1.000000;94.707245;-94.707245
